customer_id,recency,frequency,monetary,R_rank_norm,F_rank_norm,M_rank_norm,RFM_Score,segment
12410,308,38,773.71,30.14,41.08,45.88,42.18,0
12411,409,22,346.9,19.93,26.64,25.09,24.75,0
12412,74,121,2404.93,54.56,72.23,76.04,71.75,1
12413,66,48,871.45,57.08,47.9,49.71,50.31,1
12414,217,22,532.41,37.33,26.64,36.21,33.7,0
12415,24,922,144033.37,76.03,98.55,99.85,95.91,2
12416,656,11,202.56,3.29,13.32,13.43,11.88,0
12417,3,350,6017.91,95.6,92.0,91.1,92.03,1
12418,112,102,2021.2,47.93,68.45,72.2,67.51,1
12419,385,23,391.01,23.74,27.7,28.69,27.67,0
12420,63,29,600.39,58.53,33.69,39.29,40.61,0
12421,15,59,874.6,84.24,53.67,49.81,56.06,1
12422,95,162,3639.35,50.05,78.96,84.09,77.55,1
12423,0,155,2301.39,100.0,78.08,75.1,79.67,1
12424,162,92,3340.03,42.66,65.96,82.52,71.9,1
12425,78,91,1741.41,53.46,65.62,68.76,65.59,1
12426,194,75,1201.21,39.42,60.4,59.31,56.63,1
12427,21,28,949.3,79.01,32.66,52.48,50.91,1
12428,25,287,6405.26,75.21,89.12,91.78,88.55,1
12429,9,150,6979.91,89.18,77.33,92.72,87.88,1
12430,43,10,216.4,65.96,11.83,14.69,21.58,0
12431,35,385,10527.97,69.46,93.18,95.81,91.12,1
12432,42,107,4359.32,66.38,69.66,86.89,78.99,1
12433,0,559,20581.26,100.0,96.16,98.38,98.0,1
12434,84,70,1103.43,52.17,58.52,56.89,56.64,1
12435,79,112,13925.93,53.08,70.74,97.21,83.18,1
12436,99,15,429.01,49.55,18.32,31.25,30.38,0
12437,1,529,11282.4,98.82,95.85,96.1,96.44,1
12438,14,96,2466.85,85.13,67.09,76.54,75.18,1
12439,682,71,1158.18,2.11,58.95,58.15,49.97,0
12440,462,30,739.2,14.1,34.62,44.91,37.41,0
12441,366,10,311.1,27.02,11.83,22.1,19.96,0
12442,3,11,144.06,95.6,13.32,7.91,22.58,0
12443,732,20,365.31,0.58,24.59,26.71,22.2,0
12444,21,172,4085.46,79.01,80.21,85.94,83.3,1
12445,22,23,378.98,78.0,27.7,27.56,35.17,0
12446,57,57,1002.31,60.75,52.73,53.9,54.6,1
12447,243,25,431.49,35.17,29.8,31.37,31.5,0
12448,44,21,365.45,65.48,25.62,26.73,32.23,0
12449,22,196,4274.89,78.0,82.64,86.57,84.18,1
12450,156,37,688.2,43.29,40.31,43.1,42.35,0
12451,10,510,12629.88,87.92,95.59,96.75,95.1,1
12452,16,20,348.57,83.19,24.59,25.21,33.73,0
12453,134,43,707.09,45.38,44.73,43.76,44.28,0
12454,56,39,16459.78,61.2,41.83,97.81,76.65,1
12455,73,220,5722.95,54.93,84.71,90.6,83.6,1
12456,44,122,2581.04,65.48,72.47,77.51,74.3,1
12457,66,80,2555.91,57.08,62.26,77.19,69.99,1
12458,71,80,1502.49,55.84,62.26,64.99,62.85,1
12459,605,22,398.36,5.84,26.64,29.1,24.92,0
12460,456,17,296.65,14.46,20.78,20.49,19.67,0
12461,154,34,626.88,43.61,37.94,40.55,40.28,0
12462,18,60,937.59,80.97,54.17,51.88,56.88,1
12463,53,79,1200.78,61.89,61.81,59.3,60.39,1
12464,10,22,957.05,87.92,26.64,52.68,50.68,1
12465,17,45,682.19,82.05,46.1,42.72,49.56,1
12467,423,9,132.8,17.81,10.38,6.75,9.43,0
12468,187,145,3238.74,40.03,76.67,81.92,74.17,1
12469,522,76,3070.54,10.41,60.77,80.79,64.63,0
12470,689,23,211.95,1.8,27.7,14.32,16.19,0
12471,2,1087,35145.5,97.17,99.09,99.18,98.85,1
12472,32,822,16494.59,70.68,98.22,97.83,93.87,1
12473,53,160,2596.23,61.89,78.8,77.65,75.61,1
12474,17,681,11362.45,82.05,97.28,96.19,94.37,1
12475,53,59,1065.64,61.89,53.67,55.81,56.12,1
12476,15,497,12351.41,84.24,95.4,96.63,94.43,1
12477,22,564,20276.37,78.0,96.23,98.34,94.7,1
12478,3,35,545.99,95.6,38.89,36.94,46.29,1
12479,11,30,473.2,86.73,34.62,33.58,41.84,1
12480,28,235,4834.85,73.75,86.09,88.5,85.61,1
12481,22,368,11191.39,78.0,92.72,96.07,92.42,1
12482,576,202,21941.72,7.61,83.31,98.51,80.62,1
12483,17,122,4092.58,82.05,72.47,85.97,81.6,1
12484,35,445,5573.15,69.46,94.51,90.09,88.23,1
12485,529,34,708.1,10.15,37.94,43.81,37.12,0
12486,431,48,917.28,16.65,47.9,51.11,45.04,0
12487,730,2,285.3,0.78,2.16,19.74,11.97,0
12488,9,54,1244.66,89.18,51.38,60.24,62.1,1
12489,336,14,298.93,28.22,17.13,20.64,20.8,0
12490,5,441,8764.64,92.78,94.4,94.41,94.16,1
12491,38,24,424.4,67.87,28.77,30.98,35.9,0
12492,63,39,607.21,58.53,41.83,39.73,43.14,0
12493,165,20,379.74,42.36,24.59,27.63,28.99,0
12494,15,100,1602.87,84.24,67.96,66.66,69.66,1
12495,640,16,277.4,4.09,19.57,19.21,17.04,0
12496,620,10,54.09,5.19,11.83,1.25,4.8,0
12497,81,55,5996.5,52.55,51.85,91.06,74.31,1
12498,21,21,349.7,79.01,25.62,25.38,33.5,0
12499,560,26,357.72,8.47,30.75,26.04,24.72,0
12500,23,130,5559.21,76.96,74.09,90.05,83.62,1
12501,336,148,2025.39,28.22,77.02,72.23,66.97,1
12502,95,142,2995.87,50.05,76.2,80.3,74.61,1
12503,584,1,896.0,7.04,0.86,50.34,29.99,0
12504,18,17,689.05,80.97,20.78,43.13,42.55,0
12505,408,41,787.2,20.12,43.2,46.62,41.69,0
12506,232,23,73.5,36.38,27.7,2.02,14.37,0
12507,134,46,1508.06,45.38,46.68,65.11,56.99,1
12508,26,64,398.27,74.47,56.05,29.08,43.44,1
12509,284,6,158.5,31.55,6.46,9.42,11.91,0
12510,142,137,3039.03,44.61,75.26,80.54,73.67,1
12511,428,190,3084.02,17.16,82.08,80.86,71.65,1
12512,66,31,138.03,57.08,35.52,7.42,22.73,0
12513,112,34,558.29,47.93,37.94,37.54,39.21,0
12514,267,84,1597.76,32.96,63.56,66.52,60.66,1
12515,353,15,278.7,27.99,18.32,19.29,20.33,0
12516,77,70,2288.62,53.85,58.52,74.98,67.2,1
12517,28,268,2322.84,73.75,88.17,75.43,78.75,1
12518,0,119,1840.89,100.0,71.93,70.22,75.16,1
12519,63,37,636.54,58.53,40.31,41.01,43.44,0
12520,79,147,2346.26,53.08,76.88,75.56,72.56,1
12521,142,37,545.68,44.61,40.31,36.93,39.03,0
12522,39,10,156.72,67.44,11.83,9.13,18.63,0
12523,19,238,4030.15,80.0,86.26,85.73,85.02,1
12524,9,224,9794.11,89.18,85.06,95.28,91.51,1
12525,498,59,883.73,11.89,53.67,50.09,45.36,0
12526,0,68,1172.66,100.0,57.72,58.48,64.49,1
12527,81,31,717.51,52.55,35.52,44.16,43.0,0
12528,9,86,1645.48,89.18,64.29,67.29,69.73,1
12529,528,21,316.48,10.23,25.62,22.56,21.57,0
12530,59,149,3381.26,59.82,77.21,82.72,77.75,1
12531,14,126,1771.2,85.13,73.33,69.16,72.72,1
12532,30,15,313.83,72.08,18.32,22.33,28.67,0
12533,627,70,1223.89,4.69,58.52,59.83,51.19,0
12534,130,62,981.18,45.82,55.13,53.33,52.71,1
12535,91,34,716.35,50.79,37.94,44.07,43.36,0
12536,59,259,4279.71,59.82,87.58,86.6,82.86,1
12537,408,42,612.94,20.12,43.97,39.99,38.12,0
12538,29,34,640.45,72.9,37.94,41.15,45.01,1
12539,22,503,11186.75,78.0,95.51,96.05,93.19,1
12540,19,739,19250.49,80.0,97.69,98.27,95.37,1
12541,29,49,841.18,72.9,48.49,48.7,52.27,1
12542,484,39,481.88,12.54,41.83,33.87,32.9,0
12543,448,42,840.25,14.99,43.97,48.67,42.3,0
12544,36,18,316.7,68.89,22.05,22.61,29.39,0
12545,75,48,832.39,54.19,47.9,48.38,49.11,1
12546,46,67,1021.5,64.59,57.27,54.55,56.82,1
12547,197,18,299.58,39.13,22.05,20.71,23.85,0
12548,166,4,67.2,42.27,4.04,1.73,8.46,0
12549,575,48,1570.68,7.71,47.9,66.1,52.24,0
12550,79,56,824.83,53.08,52.27,48.05,49.99,1
12551,357,10,168.0,27.87,11.83,10.48,13.47,0
12552,39,19,317.82,67.44,23.43,22.69,29.61,0
12553,8,227,4104.75,90.45,85.31,86.0,86.48,1
12554,448,25,384.5,14.99,29.8,28.06,26.59,0
12556,50,114,603.71,63.46,71.03,39.47,51.91,1
12557,16,53,18716.14,83.19,50.85,98.24,82.71,1
12558,7,11,269.96,91.75,13.32,18.78,28.2,0
12559,310,20,525.71,29.95,24.59,35.94,31.86,0
12560,5,103,1918.01,92.78,68.68,71.09,73.67,1
12561,302,16,238.85,30.53,19.57,16.64,19.55,0
12562,8,198,4426.92,90.45,82.88,87.25,86.51,1
12563,408,12,221.24,20.12,14.64,15.17,15.77,0
12564,261,20,402.9,33.69,24.59,29.44,28.72,0
12565,288,9,145.92,31.33,10.38,8.12,12.23,0
12566,86,18,297.65,51.66,22.05,20.54,25.63,0
12567,22,543,12467.86,78.0,95.93,96.7,93.68,1
12568,644,4,52.0,3.9,4.04,1.17,2.38,0
12569,2,157,3152.69,97.17,78.35,81.39,82.91,1
12571,39,34,519.61,67.44,37.94,35.73,41.11,0
12572,8,58,912.42,90.45,53.2,50.94,57.5,1
12573,227,117,717.41,36.5,71.56,44.14,50.67,1
12574,315,10,182.45,29.51,11.83,11.77,14.45,0
12575,457,36,568.82,14.35,39.65,38.02,34.93,0
12576,35,141,2062.72,69.46,76.03,72.81,73.21,1
12577,35,294,1649.8,69.46,89.45,67.33,73.84,1
12578,21,168,4026.45,79.01,79.84,85.71,83.07,1
12579,78,28,386.42,53.46,32.66,28.3,33.3,0
12580,246,56,962.9,34.92,52.27,52.89,50.02,0
12581,39,14,179.71,67.44,17.13,11.62,21.54,0
12582,238,101,1820.4,35.78,68.21,69.82,64.26,1
12583,2,419,13295.44,97.17,94.04,97.01,96.2,1
12584,3,95,2254.15,95.6,66.82,74.74,75.66,1
12585,234,85,1824.1,36.14,63.91,69.92,63.17,1
12586,17,94,2062.67,82.05,66.55,72.8,72.43,1
12587,7,3,104.0,91.75,3.06,3.82,16.8,0
12588,39,42,718.78,67.44,43.97,44.22,47.63,1
12589,28,173,3294.91,73.75,80.33,82.21,80.42,1
12590,211,67,9341.26,37.99,57.27,94.91,75.83,1
12591,317,65,1128.15,29.39,56.46,57.45,52.96,0
12592,92,76,1723.64,50.58,60.77,68.49,63.64,1
12593,108,20,382.1,48.37,24.59,27.82,30.0,0
12594,37,193,4890.11,68.33,82.37,88.69,83.86,1
12595,504,18,281.02,11.41,22.05,19.45,18.97,0
12596,51,25,450.27,62.88,29.8,32.47,36.28,0
12597,19,202,3195.22,80.0,83.31,81.68,81.89,1
12598,9,199,4192.09,89.18,82.95,86.28,85.78,1
12599,29,120,2026.72,72.9,72.09,72.3,72.33,1
12600,28,109,4444.35,73.75,70.07,87.3,80.45,1
12601,189,28,573.26,39.9,32.66,38.41,37.03,0
12602,58,12,153.12,60.26,14.64,8.87,18.19,0
12603,21,1,613.2,79.01,0.86,40.02,34.91,0
12604,79,15,236.18,53.08,18.32,16.52,22.51,0
12605,376,72,1124.95,25.42,59.38,57.4,53.16,0
12607,60,101,1579.51,59.32,68.21,66.25,65.76,1
12608,404,16,415.79,20.61,19.57,30.26,25.82,0
12609,78,166,3021.86,53.46,79.48,80.49,76.15,1
12610,22,102,1747.54,78.0,68.45,68.83,70.1,1
12611,52,65,1193.32,62.42,56.46,59.04,58.82,1
12612,74,18,668.04,54.56,22.05,42.22,38.43,0
12613,57,315,6295.07,60.75,90.64,91.52,86.66,1
12614,277,20,315.6,32.15,24.59,22.49,24.53,0
12615,2,264,5362.98,97.17,87.9,89.68,90.31,1
12616,95,51,1023.1,50.05,49.74,54.6,52.55,1
12617,29,39,355.53,72.9,41.83,25.85,37.38,0
12618,21,10,137.31,79.01,11.83,7.35,19.35,0
12619,16,92,3085.7,83.19,65.96,80.9,77.06,1
12620,14,91,1303.41,85.13,65.62,61.65,66.29,1
12621,1,724,22525.81,98.82,97.59,98.63,98.37,1
12622,232,10,162.1,36.38,11.83,9.88,14.4,0
12623,276,166,3315.84,32.26,79.48,82.3,74.0,1
12624,106,36,569.13,48.79,39.65,38.06,40.11,0
12625,211,179,4678.88,37.99,81.15,88.17,78.68,1
12626,23,285,5954.48,76.96,89.03,90.94,88.31,1
12627,10,224,4082.53,87.92,85.06,85.9,85.97,1
12628,4,38,732.46,93.99,41.08,44.7,51.08,1
12629,385,43,1198.22,23.74,44.73,59.18,49.82,0
12630,9,62,1030.88,89.18,55.13,54.87,60.09,1
12631,57,182,3321.57,60.75,81.45,82.38,78.88,1
12632,520,33,714.88,10.57,37.08,44.02,37.06,0
12633,58,299,5156.16,60.26,89.79,89.29,85.07,1
12634,548,19,360.0,9.05,23.43,26.3,22.91,0
12635,89,175,2624.41,50.98,80.59,77.94,74.64,1
12637,67,590,8142.31,56.72,96.54,93.81,89.01,1
12638,33,46,681.49,70.06,46.68,42.7,47.92,1
12639,238,61,1072.37,35.78,54.63,55.96,52.56,0
12640,23,50,994.58,76.96,49.13,53.64,55.87,1
12641,115,9,145.9,47.45,10.38,8.1,14.64,0
12642,25,44,905.26,75.21,45.43,50.68,52.89,1
12643,128,42,7849.42,46.13,43.97,93.54,72.55,1
12644,129,110,1900.49,45.96,70.32,70.92,67.0,1
12645,33,152,3215.3,70.06,77.61,81.82,78.88,1
12646,4,45,1346.97,93.99,46.1,62.47,62.62,1
12647,22,484,14916.35,78.0,95.19,97.49,93.92,1
12648,154,61,1039.0,43.61,54.63,55.11,53.25,1
12649,107,112,2096.65,48.55,70.74,73.17,68.8,1
12650,3,19,242.44,95.6,23.43,17.0,30.59,0
12651,334,30,377.75,28.3,34.62,27.55,29.64,0
12652,331,50,891.03,28.53,49.13,50.24,46.67,0
12653,148,86,4160.83,44.16,64.29,86.16,73.74,1
12654,10,34,529.98,87.92,37.94,36.07,44.37,1
12655,423,15,243.35,17.81,18.32,17.05,17.52,0
12656,17,239,5723.83,82.05,86.37,90.62,88.14,1
12657,11,44,1427.18,86.73,45.43,63.94,62.18,1
12658,18,35,632.05,80.97,38.89,40.79,46.29,1
12659,29,4,73.68,72.9,4.04,2.05,13.23,0
12660,11,12,227.1,86.73,14.64,15.6,26.0,0
12661,436,11,162.0,15.84,13.32,9.86,11.73,0
12662,0,372,6374.02,100.0,92.87,91.68,93.26,1
12663,624,8,185.4,4.94,9.04,12.0,10.11,0
12664,8,34,5420.04,90.45,37.94,89.9,75.44,1
12665,324,14,259.6,28.87,17.13,18.27,19.54,0
12666,394,31,1248.42,22.21,35.52,60.37,47.69,0
12667,58,32,460.13,60.26,36.31,32.91,37.97,0
12668,11,526,9967.68,86.73,95.77,95.51,94.26,1
12669,150,98,1427.73,43.93,67.53,63.96,61.96,1
12670,10,108,3436.29,87.92,69.87,83.12,80.13,1
12671,606,44,2622.48,5.79,45.43,77.9,57.99,0
12672,329,21,407.05,28.67,25.62,29.77,28.44,0
12673,5,72,1140.02,92.78,59.38,57.78,63.48,1
12674,38,79,1844.6,67.87,61.81,70.35,67.59,1
12675,553,111,874.5,8.72,70.57,49.78,49.44,0
12676,24,97,2333.09,76.03,67.32,75.5,73.29,1
12677,555,19,359.1,8.61,23.43,26.18,22.77,0
12678,42,364,32595.18,66.38,92.54,99.11,92.36,1
12679,58,44,951.02,60.26,45.43,52.53,51.7,1
12680,0,49,790.81,100.0,48.49,46.84,55.27,1
12681,14,1379,27898.28,85.13,99.49,98.97,97.04,1
12682,3,941,21693.91,95.6,98.63,98.48,98.09,1
12683,4,468,11400.78,93.99,94.9,96.21,95.51,1
12684,7,98,2073.63,91.75,67.53,72.92,74.23,1
12685,28,151,2575.08,73.75,77.45,77.44,76.89,1
12686,371,6,142.28,26.66,6.46,7.76,10.23,0
12687,480,125,1858.91,12.71,73.09,70.44,62.52,0
12688,113,171,4873.81,47.75,80.1,88.6,80.09,1
12689,25,70,1139.61,75.21,58.52,57.76,60.59,1
12690,205,15,335.01,38.35,18.32,24.25,24.7,0
12691,28,33,1044.4,73.75,37.08,55.18,52.9,1
12692,637,13,110.95,4.21,15.88,4.5,7.65,0
12693,127,72,1415.02,46.32,59.38,63.6,59.83,1
12694,70,80,1663.35,56.27,62.26,67.46,64.33,1
12695,7,58,1371.12,91.75,53.2,62.87,64.49,1
12696,434,47,731.91,16.2,47.28,44.65,41.12,0
12697,28,38,757.59,73.75,41.08,45.44,48.46,1
12698,590,15,285.75,6.83,18.32,19.81,17.44,0
12699,417,40,566.11,18.74,42.53,37.87,36.3,0
12700,7,264,4525.99,91.75,87.9,87.63,88.32,1
12701,79,141,2248.41,53.08,76.03,74.66,71.81,1
12702,19,11,201.0,80.0,13.32,13.31,23.32,0
12703,71,70,898.53,55.84,58.52,50.43,53.5,1
12704,7,81,1740.84,91.75,62.63,68.71,70.46,1
12705,15,590,11114.1,84.24,96.54,96.0,94.39,1
12707,291,33,603.42,31.05,37.08,39.41,37.5,0
12708,29,278,4738.1,72.9,88.75,88.33,86.13,1
12709,15,480,30162.76,84.24,95.08,99.04,95.71,1
12710,96,74,1023.02,49.81,60.03,54.58,55.39,1
12711,611,58,1213.05,5.54,53.2,59.59,49.69,0
12712,28,235,6401.66,73.75,86.09,91.76,87.47,1
12713,0,37,794.55,100.0,40.31,46.99,53.07,1
12714,9,684,12815.71,89.18,97.32,96.82,95.81,1
12715,106,19,273.86,48.79,23.43,19.09,24.76,0
12716,3,67,963.49,95.6,57.27,52.9,60.53,1
12717,151,68,1058.91,43.83,57.72,55.52,54.38,1
12718,71,18,202.25,55.84,22.05,13.4,22.19,0
12719,5,37,572.95,92.78,40.31,38.38,47.08,1
12720,2,464,7306.67,97.17,94.79,93.06,94.16,1
12721,31,231,3635.08,71.35,85.74,84.02,82.6,1
12722,85,52,979.63,51.9,50.28,53.3,52.24,1
12723,3,68,707.07,95.6,57.72,43.75,55.44,1
12724,5,122,2083.52,92.78,72.47,72.98,75.81,1
12725,371,103,2278.56,26.66,68.68,74.91,65.93,1
12726,28,168,3690.6,73.75,79.84,84.28,81.46,1
12727,10,193,4905.53,87.92,82.37,88.76,86.84,1
12728,71,56,926.17,55.84,52.27,51.54,52.39,1
12729,113,25,417.01,47.75,29.8,30.37,32.82,0
12730,521,46,703.25,10.48,46.68,43.56,39.47,0
12731,23,392,25631.71,76.96,93.45,98.82,94.04,1
12732,179,11,218.26,40.88,13.32,14.9,18.36,0
12733,234,149,2424.02,36.14,77.21,76.23,70.49,1
12734,352,18,603.65,28.02,22.05,39.46,32.87,0
12735,315,41,689.57,29.51,43.2,43.18,41.14,0
12736,332,3,144.0,28.45,3.06,7.89,9.62,0
12738,372,10,274.7,26.46,11.83,19.12,18.18,0
12739,99,86,2421.23,49.55,64.29,76.16,68.84,1
12740,63,27,427.6,58.53,31.64,31.15,35.4,0
12741,533,15,236.07,9.99,18.32,16.47,16.02,0
12742,625,67,1201.52,4.86,57.27,59.35,50.59,0
12743,134,129,546.43,45.38,73.91,37.01,48.6,1
12744,56,332,13158.16,61.2,91.23,96.94,89.98,1
12745,486,22,723.85,12.41,26.64,44.4,34.63,0
12746,540,17,254.55,9.61,20.78,17.89,17.46,0
12747,2,247,9276.54,97.17,86.82,94.86,92.95,1
12748,0,6376,52194.26,100.0,99.97,99.44,99.67,2
12749,3,337,6847.36,95.6,91.41,92.58,92.71,1
12750,128,15,275.88,46.13,18.32,19.16,22.97,0
12751,444,61,268.27,15.21,54.63,18.75,28.26,0
12752,81,53,4366.78,52.55,50.85,86.91,71.66,1
12753,22,197,21429.39,78.0,82.78,98.46,91.0,1
12754,235,63,3010.74,36.02,55.62,80.42,66.81,1
12755,280,63,9030.66,32.01,55.62,94.65,74.33,1
12756,86,4,112.08,51.66,4.04,4.7,11.56,0
12757,15,346,4199.2,84.24,91.79,86.31,87.54,1
12758,116,313,9903.24,47.29,90.5,95.37,86.79,1
12759,52,294,4618.74,62.42,89.45,87.97,84.55,1
12760,455,20,317.8,14.55,24.59,22.68,21.99,0
12761,464,25,712.95,13.8,29.8,43.95,35.47,0
12762,7,67,1702.52,91.75,57.27,68.06,68.59,1
12763,138,18,814.16,44.94,22.05,47.68,40.09,0
12764,316,45,1693.88,29.46,46.1,67.96,56.06,0
12765,472,62,1299.58,13.26,55.13,61.55,52.51,0
12766,3,396,9116.28,95.6,93.53,94.7,94.51,1
12767,375,43,949.82,25.68,44.73,52.49,46.3,0
12768,450,10,168.69,14.83,11.83,10.56,11.56,0
12769,238,32,1143.6,35.78,36.31,57.91,48.54,0
12770,210,28,3246.45,38.11,32.66,82.01,61.61,1
12771,485,14,226.3,12.47,17.13,15.52,15.51,0
12772,59,54,752.47,59.82,51.38,45.3,49.18,1
12773,564,6,124.25,8.13,6.46,5.89,6.38,0
12774,535,5,83.7,9.85,5.13,2.68,4.44,0
12775,17,74,1551.12,82.05,60.03,65.84,66.65,1
12776,667,3,27.5,2.83,3.06,0.43,1.52,0
12777,457,26,519.45,14.35,30.75,35.71,31.12,0
12778,19,105,1541.68,80.0,69.17,65.65,68.79,1
12779,37,269,6722.27,68.33,88.23,92.38,87.61,1
12780,598,19,322.4,6.2,23.43,23.15,20.69,0
12781,63,24,786.74,58.53,28.77,46.6,43.4,0
12782,4,217,3862.24,93.99,84.46,85.08,86.24,1
12783,2,78,1295.87,97.17,61.39,61.48,66.81,1
12784,15,124,1552.75,84.24,72.87,65.86,70.58,1
12785,364,53,904.4,27.33,50.85,50.63,47.2,0
12786,609,17,668.5,5.72,20.78,42.26,30.76,0
12787,9,40,799.18,89.18,42.53,47.25,52.22,1
12788,463,22,384.9,13.95,26.64,28.14,25.59,0
12789,65,5,225.35,57.51,5.13,15.45,18.87,0
12790,192,35,546.85,39.55,38.89,37.06,37.95,0
12791,373,22,834.43,26.17,26.64,48.43,38.99,0
12792,256,45,715.01,34.09,46.1,44.05,43.13,0
12793,334,41,849.33,28.3,43.2,49.08,44.32,0
12794,53,45,860.41,61.89,46.1,49.4,50.35,1
12795,18,13,318.48,80.97,15.88,22.77,29.57,0
12796,628,6,351.0,4.61,6.46,25.51,17.04,0
12797,365,28,694.11,27.19,32.66,43.27,37.89,0
12798,10,33,8510.93,87.92,37.08,94.19,77.26,1
12799,529,15,219.35,10.15,18.32,14.97,15.18,0
12800,470,32,500.25,13.44,36.31,34.81,32.02,0
12801,500,49,871.82,11.71,48.49,49.73,43.68,0
12802,186,131,2186.42,40.15,74.24,74.06,69.02,1
12803,393,54,1017.81,22.47,51.38,54.46,48.8,0
12804,465,63,327.02,13.7,55.62,23.53,31.04,0
12805,381,54,1230.95,24.44,51.38,59.95,52.22,0
12806,572,64,2558.96,7.81,56.05,77.27,60.91,0
12807,383,15,250.35,23.97,18.32,17.58,18.75,0
12808,36,46,850.1,68.89,46.68,49.09,51.39,1
12809,177,78,1384.34,41.09,61.39,63.11,59.32,1
12810,534,32,534.99,9.91,36.31,36.4,32.4,0
12811,261,51,893.9,33.69,49.74,50.32,47.66,0
12812,44,15,229.64,65.48,18.32,15.87,24.0,0
12813,501,42,1621.8,11.59,43.97,66.93,52.2,0
12814,101,1,85.92,49.25,0.86,2.73,9.19,0
12815,147,45,863.46,44.28,46.1,49.47,47.75,0
12816,95,27,452.2,50.05,31.64,32.57,34.93,0
12817,281,22,570.98,31.88,26.64,38.23,34.03,0
12818,261,13,1182.08,33.69,15.88,58.73,42.98,0
12819,458,19,540.52,14.28,23.43,36.64,29.58,0
12820,3,159,2689.52,95.6,78.67,78.26,80.98,1
12821,214,13,220.8,37.56,15.88,15.12,18.7,0
12822,70,46,948.88,56.27,46.68,52.41,51.39,1
12823,74,18,6501.5,54.56,22.05,91.92,66.75,1
12824,59,25,397.12,59.82,29.8,29.02,33.86,0
